rima,unigram,lema
III,oasis,oasis
III,espíritu,espíritu
III,devuelve,devolver
III,vigor,vigor
III,tal,tal
III,razón,razón
III,ambas,ambos
III,siempre,siempre
III,lucha,lucha
III,ambas,ambos
III,vencedor,vencedor
III,tan,tanto
III,sólo,sólo
III,genio,genio
III,puede,poder
III,yugo,yugo
III,atar,atar
III,dos,dos
IV,digáis,digáis
IV,agotado,agotado
IV,tesoro,tesoro
IV,asuntos,asunto
IV,falta,falta
IV,enmudeció,enmudeceír
IV,lira,lirar
IV,podrá,poder
IV,haber,haber
IV,poetas,poeta
IV,siempre,siempre
IV,poesía,poesía
IV,mientras,mientras
IV,ondas,onda
IV,luz,luz
IV,beso,beso
IV,palpiten,palpitir
IV,encendidas,encendido
IV,mientras,mientras
IV,sol,sol
IV,desgarradas,desgarrada
IV,nubes,nube
IV,fuego,fuego
IV,oro,oro
IV,vista,visto
IV,mientras,mientras
IV,aire,aire
IV,regazo,regazo
IV,lleve,llevar
IV,perfumes,perfume
IV,armonías,armonía
IV,mientras,mientras
IV,mundo,mundo
IV,primavera,primavera
IV,poesía,poesía
IV,mientras,mientras
IV,ciencia,ciencia
IV,descubrir,descubrir
IV,alcance,alcance
IV,fuentes,fuente
IV,vida,vida
IV,mar,mar
IV,cielo,cielo
IV,abismo,abismo
IV,cálculo,cálculo
IV,resista,resista
IV,mientras,mientras
IV,humanidad,humanidad
IV,siempre,siempre
IV,avanzando,avanzar
IV,sepa,sepa
IV,dó,dó
IV,camina,caminar
IV,mientras,mientras
IV,misterio,misterio
IV,hombre,hombre
IV,poesía,poesía
IV,mientras,mientras
IV,sintamos,sintamos
IV,alegra,alegrar
IV,alma,alma
IV,labios,labio
IV,rían,rir
IV,mientras,mientras
IV,llora,llorar
IV,llanto,llanto
IV,acuda,acudar
IV,nublar,nublar
IV,pupila,pupila
IV,mientras,mientras
IV,corazón,corazón
IV,cabeza.batallando,cabeza.batallar
IV,prosigan,prosigar
IV,mientras,mientras
IV,esperanzas,esperanza
IV,recuerdos,recuerdo
IV,poesía,poesía
IV,mientras,mientras
IV,ojos,ojo
IV,reflejen,reflejar
IV,ojos,ojo
IV,miran,mirar
IV,mientras,mientras
IV,responda,respondar
IV,labio,labio
IV,suspirando,suspirar
IV,labio,labio
IV,suspira,suspirar
IV,mientras,mientras
IV,sentirse,sentir él
IV,puedan,poder
IV,beso,beso
IV,dos,dos
IV,almas,alma
IV,confundidas,confundida
IV,mientras,mientras
IV,exista,existir
IV,mujer,mujer
IV,hermosa,hermoso
IV,poesía,poesía
V,espíritu,espíritu
V,nombre,nombre
V,indefinible,indefinible
V,esencia,esencia
V,vivo,vivir
V,vida,vida
V,formas,forma
V,idea,idea
V,nado,nado
V,vacío,vacío
V,sol,sol
V,tiemblo,temblar
V,hoguera,hoguera
V,palpito,palpito
V,sombras,sombra
V,floto,floto
V,nieblas,niebla
V,fleco,fleco
V,oro,oro
V,lejana,lejano
V,estrella,estrella
V,alta,alto
V,luna,luna
V,luz,luz
V,tibia,tibio
V,serena,serén
V,ardiente,ardiente
V,nube,nube
V,ocaso,ocaso
V,ondea,ondea
V,astro,astro
V,errante,errante
V,luminosa,luminoso
V,estela,estela
V,nieve,nieve
V,cumbre,cumbre
V,fuego,fuego
V,arenas,arena
V,azul,azul
V,onda,ondar
V,mares,mar
V,espuma,espuma
V,riberas,ribera
V,laúd,laúd
V,nota,nota
V,perfume,perfumir
V,violeta,violeta
V,fugas,fuga
V,llama,llamar
V,tumbas,tumbos
V,ruinas,ruina
V,hiedra,hiedra
V,atrueno,atrueno
V,torrente,torrente
V,silbo,silbo
V,centella,centella
V,ciego,ciego
V,relámpago,relámpago
V,rujo,rujo
V,tormenta,tormenta
V,río,río
V,alcores,alcor
V,susurro,susurro
V,alta,alto
V,hierba,hierba
V,suspiro,suspirar
V,onda,ondar
V,pura,puro
V,lloro,lloro
V,hoja,hoja
V,seca,seco
V,ondulo,ondulo
V,átomos,átomo
V,humo,humo
V,eleva,elevar
V,cielo,cielo
V,lento,lento
V,sube,subir
V,espiral,espiral
V,inmensa,inmenso
V,dorados,dorado
V,hilos,hi él
V,insectos,insecto
V,cuelgan,colgar
V,mezclo,mezclo
V,árboles,árbol
V,ardorosa,ardorós
V,siesta,siesta
V,corro,corro
V,tras,tras
V,ninfas,ninfa
V,corriente,corriente
V,fresca,fresco
V,cristalino,cristalino
V,arrollo,arrollo
V,desnudas,desnudo
V,juguetean,juguetean
V,bosque,bosque
V,corales,coral
V,alfombran,alfombran
V,blancas,blanca
V,perlas,perla
V,persigo,persigo
V,océano,océano
V,náyades,náyade
V,ligeras,ligero
V,cavernas,caverna
V,cóncavas,cóncava
V,do,do
V,sol,sol
V,nunca,nunca
V,penetra,penetrar
V,mezclándome,mezclándome
V,nomos,nomos
V,contemplo,contemplo
V,riquezas,riqueza
V,busco,buscar
V,siglos,siglo
V,borradas,borrada
V,huellas,huella
V,sé,saber
V,imperios,imperio
V,nombre,nombre
V,queda,quedar
V,sigo,seguir
V,raudo,raudir
V,vértigo,vértigo
V,mundos,mundo
V,voltean,voltear
V,pupila,pupila
V,abarca,abarcar
V,creación,creación
V,entera,entera
V,sé,saber
V,regiones,región
V,do,do
V,rumor,rumor
V,llega,llegar
V,informes,informe
V,astros,astros
V,vida,vida
V,soplo,soplo
V,esperan,esperar
V,abismo,abismo
V,puente,puente
V,atraviesa,atravesar
V,ignota,ignotar
V,escala,escala
V,cielo,cielo
V,une,unir
V,tierra,tierra
V,invisible,invisible
V,anillo,anillo
V,sujeta,sujeto
V,mundo,mundo
V,forma,forma
V,mundo,mundo
V,idea,idea
V,fin,fin
V,espíritu,espíritu
V,desconocida,desconocido
V,esencia,esencia
V,perfume,perfumir
V,misterioso,misterioso
V,vaso,vaso
V,poeta,poeta
VI,brisa,brisar
VI,sangre,sangre
VI,orea,oreo
VI,oscuro,oscuro
VI,campo,campo
VI,batalla,batalla
VI,cargada,cargado
VI,perfumes,perfume
VI,armonías,armonía
VI,silencio,silencio
VI,noche,noche
VI,vaga,vagar
VI,símbolo,símbolo
VI,dolor,dolor
VI,ternura,ternura
VI,bardo,bardo
VI,inglés,inglés
VI,horrible,horrible
VI,drama,drama
VI,dulce,dulce
VI,ofelia,ofelia
VI,razón,razón
VI,perdida,perdido
VI,cogiendo,coger
VI,flores,flor
VI,cantando,cantar
VI,pasa,pasar
VII,salón,salón
VII,ángulo,ángulo
VII,oscuro,oscuro
VII,dueño,dueño
VII,tal,tal
VII,vez,vez
VII,olvidada,olvidado
VII,silenciosa,silencioso
VII,cubierta,cubierto
VII,polvo,polvo
VII,veíase,veíar
VII,arpa,arpa
VII,cuánta,cuánta
VII,nota,nota
VII,dormía,dormir
VII,cuerdas,cuerda
VII,pájaro,pájaro
VII,duerme,dormir
VII,rama,rama
VII,esperando,esperar
VII,mano,mano
VII,nieve,nieve
VII,sabe,saber
VII,arrancarlas,arrancarla
VII,ay,ay
VII,pensé,pensar
VII,cuántas,cuánta
VII,veces,vez
VII,genio,genio
VII,así,así
VII,duerme,dormir
VII,fondo,fondo
VII,alma,alma
VII,voz,voz
VII,lázaro,lázaro
VII,espera,esperar
VII,diga,decir
VII,levántate,levántate
VII,anda,andar
VIII,miro,mirar
VIII,azul,azul
VIII,horizonte,horizonte
VIII,perderse,perder él
VIII,lejos,lejos
VIII,través,través
VIII,gasa,gasa
VIII,polvo,polvo
VIII,dorado,dorado
VIII,inquieto,inquieto
VIII,parece,parecer
VIII,posible,posible
VIII,arrancarme,arrancar yo
VIII,mísero,mísero
VIII,suelo,suelo
VIII,flotar,flotar
VIII,niebla,niebla
VIII,dorada,dorado
VIII,átomos,átomo
VIII,leves,leve
VIII,deshecho,deshecho
VIII,miro,mirar
VIII,noche,noche
VIII,fondo,fondo
VIII,obscuro,obscuro
VIII,cielo,cielo
VIII,estrellas,estrella
VIII,temblar,temblar
VIII,ardientes,ardient
VIII,pupilas,pupila
VIII,fuego,fuego
VIII,parece,parecer
VIII,posible,posible
VIII,do,do
VIII,brillan,brillar
VIII,subir,subir
VIII,vuelo,vuelo
VIII,anegarme,anegar yo
VIII,luz,luz
VIII,lumbre,lumbre
VIII,encendido,encendido
VIII,fundirme,fundir yo
VIII,beso,beso
VIII,mar,mar
VIII,duda,duda
VIII,bogo,bogo
VIII,aún,aún
VIII,creo,creer
VIII,embargo,embargo
VIII,ansias,ansia
VIII,dicen,decir
VIII,llevo,llevar
VIII,divino,divino
VIII,aquí,aquí
VIII,dentro,dentro
IX,besa,bés
IX,aura,aura
IX,gime,gime
IX,blandamente,blandamente
IX,leves,leve
IX,ondas,onda
IX,jugando,jugar
IX,riza,rezar
IX,sol,sol
IX,besa,bés
IX,nube,nube
IX,occidente,occidente
IX,púrpura,púrpura
IX,oro,oro
IX,matiza,matizar
IX,llama,llamar
IX,derredor,derredor
IX,tronco,tronco
IX,ardiente,ardiente
IX,besar,besar
IX,llama,llamar
IX,desliza,deslizar
IX,sauce,saucir
IX,inclinándose,inclinar él
IX,peso,peso
IX,río,río
IX,besa,bés
IX,vuelve,volver
IX,beso,beso
X,invisibles,invisible
X,átomos,átomo
X,aire,aire
X,derredor,derredor
X,palpitan,palpitar
X,inflaman,inflamar
X,cielo,cielo
X,deshace,deshacer
X,rayos,rayo
X,oro,oro
X,tierra,tierra
X,estremece,estremecir
X,alborozada,alborozado
X,oigo,oír
X,flotando,flotar
X,olas,ola
X,armonía,armonir
X,rumor,rumor
X,besos,beso
X,batir,batir
X,alas,ala
X,párpados,párpado
X,cierran,cerrar
X,sucede,suceder
X,dime,dimir
X,silencio,silencio
X,amor,amor
X,pasa,pasar
XI,ardiente,ardiente
XI,morena,morén
XI,símbolo,símbolo
XI,pasión,pasión
XI,ansia,ansia
XI,goces,goz
XI,alma,alma
XI,llena,lleno
XI,buscas,busca
XI,frente,frente
XI,pálida,pálido
XI,trenzas,trenza
XI,oro,oro
XI,puedo,poder
XI,brindarte,brindartir
XI,dichas,dicho
XI,fin,fin
XI,ternura,ternura
XI,guardo,guardar
XI,tesoro,tesoro
XI,llamas,llama
XI,sueño,sueño
XI,imposible,imposible
XI,vano,vano
XI,fantasma,fantasma
XI,niebla,niebla
XI,luz,luz
XI,incorpórea,incorpórea
XI,intangible,intangible
XI,puedo,poder
XI,amarte,amarte
XI,oh,oh
XI,ven,ver
XI,ven,ver
XII,niña,niña
XII,ojos,ojo
XII,verdes,verde
XII,mar,mar
XII,quejas,queja
XII,verdes,verde
XII,náyades,náyade
XII,verdes,verde
XII,minerva,minerva
XII,verdes,verde
XII,pupilas,pupila
XII,huris,huris
XII,profeta,profeta
XII,verde,verde
XII,gala,gala
XII,ornato,ornato
XII,bosque,bosque
XII,primavera,primavera
XII,siete,siete
XII,colores,color
XII,brillante,brillante
XII,iris,iris
XII,ostenta,ostentar
XII,esmeraldas,esmeralda
XII,verdes,verde
XII,verde,verde
XII,color,color
XII,espera,esperar
XII,ondas,onda
XII,océano,océano
XII,laurel,laurel
XII,poetas,poeta
XII,mejilla,mejilla
XII,temprana,temprano
XII,rosa,rosa
XII,escarcha,escarcha
XII,cubierta,cubierto
XII,carmín,carmín
XII,pétalos,pétalo
XII,ve,ver
XII,través,través
XII,perlas,perla
XII,embargo,embargo
XII,sé,saber
XII,quejas,queja
XII,ojos,ojo
XII,crees,crees
XII,afean,afear
XII,pues,pues
XII,creas,crea
XII,parecen,parecer
XII,pupilas,pupila
XII,húmedas,húmeda
XII,verdes,verde
XII,inquietas,inquieta
XII,tempranas,temprana
XII,hojas,hoja
XII,almendro,almendrir
XII,soplo,soplo
XII,aire,aire
XII,tiemblan,temblar
XII,boca,bocar
XII,rubíes,rubí
XII,purpúrea,purpúreo
XII,granada,granada
XII,abierta,abierto
XII,estío,estío
XII,convida,convida
XII,apagar,apagar
XII,sed,sed
XII,embargo,embargo
XII,sé,saber
XII,quejas,queja
XII,ojos,ojo
XII,crees,crees
XII,afean,afear
XII,pues,pues
XII,creas,crea
XII,parecen,parecer
XII,si,si
XII,enojada,enojado
XII,pupilas,pupila
XII,centellean,centellear
XII,olas,ola
XII,mar,mar
XII,rompen,romper
XII,cantábricas,cantábrica
XII,peñas,peña
XII,frente,frente
XII,corona,corona
XII,crespo,crespo
XII,oro,oro
XII,ancha,ancho
XII,trenza,trenza
XII,nevada,nevado
XII,cumbre,cumbre
XII,día,día
XII,postrera,postrera
XII,luz,luz
XII,refleja,reflejar
XII,embargo,embargo
XII,sé,saber
XII,quejas,queja
XII,ojos,ojo
XII,crees,crees
XII,afean,afear
XII,pues,pues
XII,creas,crea
XII,rubias,rubio
XII,pestañas,pestaña
XII,junto,junto
XII,sienes,sién
XII,semejan,semejar
XII,broches,broche
XII,esmeralda,esmeralda
XII,oro,oro
XII,blanco,blanco
XII,armiño,armiño
XII,sujetan,sujetar
XIII,pupila,pupila
XIII,azul,azul
XIII,ríes,rí
XIII,claridad,claridad
XIII,suave,suave
XIII,recuerda,recordar
XIII,trémulo,trémulo
XIII,fulgor,fulgor
XIII,mañana,mañana
XIII,mar,mar
XIII,refleja,reflejar
XIII,pupila,pupila
XIII,azul,azul
XIII,lloras,lloras
XIII,transparentes,transparente
XIII,lágrimas,lágrima
XIII,figuran,figurar
XIII,gotas,gota
XIII,rocío,rocío
XIII,violeta,violeta
XIII,pupila,pupila
XIII,azul,azul
XIII,si,si
XIII,fondo,fondo
XIII,punto,punto
XIII,luz,luz
XIII,radia,radiar
XIII,idea,idea
XIII,parece,parecer
XIII,cielo,cielo
XIII,tarde,tarde
XIII,perdida,perdido
XIII,estrella,estrella
XIV,vi,ver
XIV,punto,punto
XIV,flotando,flotar
XIV,ojos,ojo
XIV,imagen,imagen
XIV,ojos,ojo
XIV,quedó,quedar
XIV,mancha,manchar
XIV,obscura,obscura
XIV,orlada,orlado
XIV,fuego,fuego
XIV,flota,flota
XIV,ciega,ciego
XIV,si,si
XIV,mira,mirar
XIV,sol,sol
XIV,adondequiera,adondequeír
XIV,vista,visto
XIV,fijo,fijo
XIV,torno,torno
XIV,ver,ver
XIV,pupilas,pupila
XIV,llamear,llamear
XIV,mas,mas
XIV,encuentro,encuentro
XIV,mirada,mirada
XIV,ojos,ojo
XIV,alcoba,alcobar
XIV,ángulo,ángulo
XIV,miro,mirar
XIV,desasidos,desasido
XIV,fantásticos,fantástico
XIV,lucir,lucir
XIV,duermo,dormir
XIV,siento,sentir
XIV,ciernen,cerner
XIV,par,par
XIV,par,par
XIV,abiertos,abierto
XIV,sé,saber
XIV,fuegos,fuego
XIV,faustos,fausto
XIV,noche,noche
XIV,llevan,llevar
XIV,caminante,caminante
XIV,perecer,perecer
XIV,siento,sentir
XIV,arrastrado,arrastrado
XIV,ojos,ojo
XIV,arrastran,arrastran
XIV,sé,saber
XV,cendal,cendal
XV,flotante,flotante
XV,leve,leve
XV,bruma,bruma
XV,rizada,rizado
XV,cinta,cinta
XV,blanca,blanco
XV,espuma,espuma
XV,rumor,rumor
XV,sonoro,sonoro
XV,arpa,arpa
XV,oro,oro
XV,beso,beso
XV,aura,aura
XV,onda,ondar
XV,luz,luz
XV,sombra,sombra
XV,aérea,aéreo
XV,cuantas,cuanta
XV,veces,vez
XV,voy,ir
XV,tocarte,tocarte
XV,desvaneces,desvanez
XV,llama,llamar
XV,sonido,sonido
XV,niebla,niebla
XV,gemido,gemir
XV,lago,lago
XV,azul,azul
XV,mar,mar
XV,playas,playa
XV,onda,ondar
XV,sonante,sonante
XV,vacío,vacío
XV,cometa,cometer
XV,errante,errante
XV,largo,largo
XV,lamento,lamento
XV,ronco,ronco
XV,viento,viento
XV,ansia,ansia
XV,perpetua,perpetua
XV,mejor,mejor
XV,ojos,ojo
XV,agonía,agonir
XV,ojos,ojo
XV,vuelvo,volver
XV,noche,noche
XV,día,día
XV,incansable,incansable
XV,demente,demente
XV,tras,tras
XV,sombra,sombra
XV,tras,tras
XV,hija,hija
XV,ardiente,ardiente
XV,visión,visión
XVI,si,si
XVI,mecer,mecer
XVI,azules,azul
XVI,campanillas,campanilla
XVI,balcón,balcón
XVI,crees,crees
XVI,suspirando,suspirar
XVI,pasa,pasar
XVI,viento,viento
XVI,murmurador,murmurador
XVI,sabe,saber
XVI,oculto,oculto
XVI,verdes,verde
XVI,hojas,hoja
XVI,suspiro,suspirar
XVI,si,si
XVI,resonar,resonar
XVI,confuso,confuso
XVI,espaldas,espalda
XVI,vago,vago
XVI,rumor,rumor
XVI,crees,crees
XVI,nombre,nombre
XVI,llamado,llamado
XVI,lejana,lejano
XVI,voz,voz
XVI,sabe,saber
XVI,sombras,sombra
XVI,cercan,cercar
XVI,llamo,llamar
XVI,si,si
XVI,turba,turba
XVI,medroso,medroso
XVI,alta,alto
XVI,noche,noche
XVI,corazón,corazón
XVI,sentir,sentir
XVI,labios,labio
XVI,aliento,aliento
XVI,abrasador,abrasador
XVI,sabe,saber
XVI,aunque,aunque
XVI,invisible,invisible
XVI,lado,lado
XVI,respiro,respirar
XVII,hoy,hoy
XVII,tierra,tierra
XVII,cielos,cielo
XVII,sonríen,sonreir
XVII,hoy,hoy
XVII,llega,llegar
XVII,fondo,fondo
XVII,alma,alma
XVII,sol,sol
XVII,hoy,hoy
XVII,visto,ver
XVII,visto,ver
XVII,mirado,mirado
XVII,hoy,hoy
XVII,creo,creer
XVII,dios,dios
XVIII,fatigada,fatigado
XVIII,baile,baile
XVIII,encendido,encendido
XVIII,color,color
XVIII,breve,breve
XVIII,aliento,aliento
XVIII,apoyada,apoyado
XVIII,brazo,brazo
XVIII,salón,salón
XVIII,detuvo,detener
XVIII,extremo,extremo
XVIII,leve,leve
XVIII,gasa,gasa
XVIII,levantaba,levantar
XVIII,palpitante,palpitante
XVIII,seno,seno
XVIII,flor,flor
XVIII,mecía,mecir
XVIII,compasado,compasado
XVIII,dulce,dulce
XVIII,movimiento,movimiento
XVIII,cuna,cuna
XVIII,nácar,nácar
XVIII,empuja,empuja
XVIII,mar,mar
XVIII,acaricia,acaricia
XVIII,céfiro,céfirir
XVIII,tal,tal
XVIII,vez,vez
XVIII,allí,allí
XVIII,dormía,dormir
XVIII,soplo,soplo
XVIII,labios,labio
XVIII,entreabiertos,entreabierto
XVIII,oh,oh
XVIII,quién,quién
XVIII,así,así
XVIII,pensaba,pensar
XVIII,dejar,dejar
XVIII,pudiera,poder
XVIII,deslizarse,deslizar él
XVIII,tiempo,tiempo
XVIII,oh,oh
XVIII,si,si
XVIII,flores,flor
XVIII,duermen,duermen 
XVIII,dulcísimo,dulcísimo
XVIII,sueño,sueño
XIX,pecho,pecho
XIX,inclinas,inclina
XIX,melancólica,melancólicar
XIX,frente,frente
XIX,azucena,azucenar
XIX,tronchada,tronchado
XIX,preces,prez
XIX,darte,darte
XIX,pureza,pureza
XIX,símbolo,símbolo
XIX,celeste,celestar
XIX,hizo,hacer
XIX,dios,dios
XIX,oro,oro
XIX,nieve,nieve
XX,sabe,saber
XX,si,si
XX,alguna,alguno
XX,vez,vez
XX,labios,labio
XX,rojos,rojo
XX,quema,quema
XX,invisible,invisible
XX,atmósfera,atmósfera
XX,abrasada,abrasado
XX,alma,alma
XX,hablar,hablar
XX,puede,poder
XX,ojos,ojo
XX,puede,poder
XX,besar,besar
XX,mirada,mirada
XXI,poesía,poesía
XXI,dices,diz
XXI,mientras,mientras
XXI,clavas,clava
XXI,pupila,pupila
XXI,pupila,pupila
XXI,azul,azul
XXI,poesía,poesía
XXI,preguntas,pregunta
XXI,poesía,poesía
XXII,cómo,cómo
XXII,vive,vivir
XXII,rosa,rosa
XXII,prendido,prender
XXII,junto,junto
XXII,corazón,corazón
XXII,nunca,nunca
XXII,ahora,ahora
XXII,contemple,contemple
XXII,tierra,tierra
XXII,volcán,volcán
XXII,flor,flor
XXIII,mirada,mirada
XXIII,mundo,mundo
XXIII,sonrisa,sonrisa
XXIII,cielo,cielo
XXIII,beso,beso
XXIII,sé,saber
XXIII,diera,dar
XXIII,beso,beso
XXIV,dos,dos
XXIV,rojas,rojo
XXIV,lenguas,lengua
XXIV,fuego,fuego
XXIV,mismo,mismo
XXIV,tronco,tronco
XXIV,enlazadas,enlazada
XXIV,aproximan,aproximar
XXIV,besarse,besar él
XXIV,forman,formar
XXIV,sola,solo
XXIV,llama,llamar
XXIV,dos,dos
XXIV,notas,nota
XXIV,laúd,laúd
XXIV,tiempo,tiempo
XXIV,mano,mano
XXIV,arranca,arranca
XXIV,espacio,espacio
XXIV,encuentran,encontrar
XXIV,armoniosas,armoniosa
XXIV,abrazan,abrazar
XXIV,dos,dos
XXIV,olas,ola
XXIV,vienen,venir
XXIV,juntas,junto
XXIV,morir,morir
XXIV,playa,playa
XXIV,romper,romper
XXIV,coronan,coronar
XXIV,penacho,penacho
XXIV,plata,platar
XXIV,dos,dos
XXIV,jirones,jirón
XXIV,vapor,vapor
XXIV,lago,lago
XXIV,levantan,levantar
XXIV,reunirse,reunir él
XXIV,cielo,cielo
XXIV,forman,formar
XXIV,nube,nube
XXIV,blanca,blanco
XXIV,dos,dos
XXIV,ideas,idea
XXIV,par,par
XXIV,brotan,brotar
XXIV,dos,dos
XXIV,besos,beso
XXIV,tiempo,tiempo
XXIV,estallan,estallar
XXIV,dos,dos
XXIV,ecos,eco
XXIV,confunden,confundir
XXIV,dos,dos
XXIV,almas,alma
XXV,noche,noche
XXV,envuelven,envolver
XXV,alas,ala
XXV,tul,tul
XXV,sueño,sueño
XXV,tendidas,tendido
XXV,pestañas,pestaña
XXV,semejan,semejar
XXV,arcos,arco
XXV,ébano,ébano
XXV,escuchar,escuchar
XXV,latidos,latido
XXV,corazón,corazón
XXV,inquieto,inquieto
XXV,reclinar,reclinar
XXV,dormida,dormido
XXV,cabeza,cabeza
XXV,pecho,pecho
XXV,diera,dar
XXV,alma,alma
XXV,cuanto,cuanto
XXV,poseo,poseo
XXV,luz,luz
XXV,aire,aire
XXV,pensamiento,pensamiento
XXV,cuanto,cuanto
XXV,clavan,clavar
XXV,ojos,ojo
XXV,invisible,invisible
XXV,objeto,objeto
XXV,labios,labio
XXV,ilumina,iluminar
XXV,sonrisa,sonrisa
XXV,reflejo,reflejo
XXV,leer,leer
XXV,frente,frente
XXV,callado,callado
XXV,pensamiento,pensamiento
XXV,pasa,pasar
XXV,nube,nube
XXV,mar,mar
XXV,ancho,ancho
XXV,espejo,espejo
XXV,diera,dar
XXV,alma,alma
XXV,cuanto,cuanto
XXV,deseo,desear
XXV,fama,fama
XXV,oro,oro
XXV,gloria,gloria
XXV,genio,genio
XXV,cuanto,cuanto
XXV,enmudece,enmudecir
XXV,lengua,lengua
XXV,apresura,apresura
XXV,aliento,aliento
XXV,mejillas,mejilla
XXV,encienden,encender
XXV,entornas,entorna
XXV,ojos,ojo
XXV,negros,negro
XXV,ver,ver
XXV,pestañas,pestaña
XXV,brillar,brillar
XXV,húmedo,húmedo
XXV,fuego,fuego
XXV,ardiente,ardiente
XXV,chispa,chispa
XXV,brota,brota
XXV,volcán,volcán
XXV,deseos,deseo
XXV,diera,dar
XXV,alma,alma
XXV,cuanto,cuanto
XXV,espero,esperar
XXV,fe,fe
XXV,espíritu,espíritu
XXV,tierra,tierra
XXV,cielo,cielo
XXVI,voy,ir
XXVI,interés,interés
XXVI,confesarlo,confesar él
XXVI,obstante,obstante
XXVI,amada,amado
XXVI,pienso,pensar
XXVI,oda,odar
XXVI,solo,solo
