rima,bigram
VIII,azul horizonte
VIII,horizonte perder él
VIII,polvo dorado
VIII,parecer posible
VIII,posible arrancar yo
VIII,mísero suelo
VIII,niebla dorado
VIII,átomos lev
VIII,fondo obscuro
VIII,estrella temblar
VIII,ardient pupila
VIII,parecer posible
VIII,do brillan
VIII,brillar subir
VIII,lumbre encendido
VIII,encendido fundir yo
VIII,divino aquí
VIII,aquí dentro
IX,gimir blandamente
IX,leve onda
IX,jugar rezar
IX,sol bés
IX,tronco ardiente
IX,saucir inclinar él
IX,besa volver
X,invisible átomos
X,derredor palpitar
X,estremecir alborozado
X,alborozado oír
X,oír flotar
X,armonir rumor
X,suceder dime
X,dimir silenciar
XI,oro poder
XI,poder brindartir
XI,brindartir dicho
XI,ternura guardo
XI,imposible vano
XI,vano fantasma
XI,poder amarte
XI,amarte oh
XI,oh ver
XI,ver ver
XII,ojo verde
XII,queja verde
XII,náyade verde
XII,siete color
XII,color brillante
XII,verdes verde
XII,mejilla temprano
XII,temprano rosa
XII,escarcha cubierto
XII,embargo saber
XII,ojo crees
XII,afear pues
XII,pupila húmedo
XII,húmeda verde
XII,inquieta temprano
XII,temprana hoja
XII,aire temblar
XII,rubí purpúreo
XII,purpúreo granada
XII,granada abierto
XII,estío convido
XII,embargo saber
XII,ojo crees
XII,afear pues
XII,parecer si
XII,si enojado
XII,pupila centellear
XII,cantábrica peña
XII,corona crespo
XII,ancho trenza
XII,trenza nevado
XII,nevado cumbre
XII,postrer luz
XII,luz reflejar
XII,embargo saber
XII,ojo crees
XII,afear pues
XII,rubio pestaña
XII,pestaña junto
XII,sién semejar
XII,semejar broche
XII,blanco armiño
XII,armiño sujetar
XIII,claridad suave
XIII,trémulo fulgor
XIII,transparente lágrima
XIII,figurar gota
XIII,luz radiar
XIII,perdido estrella
XIV,manchar obscura
XIV,obscura orlado
XIV,ciego si
XIV,sol adondequiera
XIV,visto fijo
XIV,fijo torno
XIV,pupila llamear
XIV,llamear mas
XIV,mirar desasido
XIV,desasido fantástico
XIV,fantástico lucir
XIV,par abierto
XIV,fuego fausto
XIV,noche llevar
XIV,sentir arrastrado
XV,cendal flotante
XV,leve bruma
XV,bruma rizado
XV,rizado cinta
XV,blanco espuma
XV,espumo rumor
XV,rumor sonoro
XV,oro beso
XV,aura ondar
XV,sombra aéreo
XV,cuanta vez
XV,vez ir
XV,lago azul
XV,playa ondar
XV,ondar sonante
XV,vacío cometa
XV,cometa errante
XV,errante largo
XV,largo lamento
XV,ronco viento
XV,viento ansia
XV,ansia perpetuo
XV,ojo volver
XV,demente tras
XV,sombra tras
XV,hija ardiente
XVI,azul campanilla
XVI,balcón crees
XVI,suspirar pasar
XVI,viento murmurador
XVI,murmurador saber
XVI,verde hoja
XVI,hoja suspiro
XVI,resonar confuso
XVI,espalda vago
XVI,vago rumor
XVI,rumor crees
XVI,llamado lejana
XVI,lejano voz
XVI,voz saber
XVI,turba medroso
XVI,alto noche
XVI,aliento abrasador
XVI,abrasador saber
XVI,aunque invisible
XVII,sonreir hoy
XVII,hoy llegar
XVII,sol hoy
XVII,mirado hoy
XVII,hoy creer
XVIII,baile encendido
XVIII,color breve
XVIII,aliento apoyado
XVIII,leve gasa
XVIII,palpitante seno
XVIII,dulce movimiento
XVIII,céfirir tal
XVIII,tal vez
XVIII,vez allí
XVIII,allí dormir
XVIII,labio entreabierto
XVIII,entreabierto oh
XVIII,oh quién
XVIII,quién así
XVIII,así pensar
XVIII,pensar dejar
XVIII,dejar poder
XVIII,poder deslizar él
XVIII,tiempo oh
XVIII,oh si
XVIII,flores dormir
XVIII,dulcísimo sueño
XIX,pecho inclina
XIX,melancólicar frente
XIX,azucén tronchado
XIX,símbolo celeste
XIX,hacer dios
XX,saber si
XX,si alguno
XX,alguno vez
XX,labio rojo
XX,rojo quema
XX,quema invisible
XX,invisible atmósfera
XX,atmósfera abrasado
XX,hablar poder
XX,poder besar
XXI,poesía diz
XXI,diz mientras
XXI,mientras clava
XXI,pupila azul
XXI,pregunta poesía
XXII,cómo vivir
XXII,prendido junto
XXII,corazón nunca
XXII,ahora contemplir
XXIV,dos roja
XXIV,rojo lengua
XXIV,mismo tronco
XXIV,tronco enlazada
XXIV,besar él formar
XXIV,solo llamar
XXIV,llamar dos
XXIV,dos nota
XXIV,mano arranco
XXIV,abrazar dos
XXIV,dos ola
XXIV,venir junto
XXIV,platar dos
XXIV,dos jirón
XXIV,cielo formar
XXIV,nube blanco
XXIV,blanco dos
XXIV,dos idea
XXIV,par brotar
XXIV,brotar dos
XXIV,dos beso
XXIV,tiempo estallar
XXIV,estallar dos
XXIV,dos eco
XXIV,dos alma
XXV,tendido pestaña
XXV,pestaña semejar
XXV,semejar arco
XXV,corazón inquieto
XXV,dormido cabeza
XXV,pecho dar
XXV,dar alma
XXV,cuanto poseo
XXV,pensamiento cuanto
XXV,invisible objeto
XXV,labio iluminar
XXV,callado pensamiento
XXV,ancho espejo
XXV,espejo dar
XXV,dar alma
XXV,cuanto desear
XXV,genio cuanto
XXV,cuanto enmudecir
XXV,ojo negro
XXV,pestaña brillar
XXV,húmedo fuego
XXV,ardiente chispa
XXV,deseo dar
XXV,dar alma
XXV,cuanto esperar
XXVI,obstante amado
XXVI,oda solo
XXVI,dorso escrito
XXVI,faltar alguno
XXVI,alguno necio
XXVI,hacer cruz
XXVI,decir mujer
XXVI,siglo diez
XXVI,nueve material
XXVI,prosaico bobería
XXVI,bobería voz
XXVI,hacer correr
XXVI,correr cuatro
XXVI,cuatro poeta
XXVI,lirar ladrido
XXVI,oro cualquiera
XXVI,cualquiera hacer
XXVI,hacer poesía
XXVII,despertar tiemblo
XXVII,mirarte dormido
XXVII,duerm despertar
XXVII,despertar rí
XXVII,labio inquieto
XXVII,parecer relámpago
XXVII,nieve dormido
XXVII,boca pliega
XXVII,pliega sonrisa
XXVII,sonrisa leve
XXVII,leve suave
XXVII,rastro luminoso
XXVII,morir duer yo
XXVII,dormir despierta
XXVII,despertar mira
XXVII,ojo húmedo
XXVII,húmedo resplandecir
XXVII,onda azul
XXVII,cuyo cresta
XXVII,cresta chispear
XXVII,sol herir
XXVII,párpado dormido
XXVII,dormida tranquilo
XXVII,tranquilo fulgor
XXVII,fulgor viertar
XXVII,luz templado
XXVII,templado rayo
XXVII,rayo lámpar
XXVII,lámpar transparente
XXVII,transparente dormir
XXVII,dormir despierta
XXVII,despertar habla
XXVII,hablar vibrant
XXVII,palabra parecer
XXVII,parecer lluvia
XXVII,dorado copa
XXVII,torrente dormido
XXVII,aliento acompasado
XXVII,tenue escuchar
XXVII,alma enamorado
XXVII,enamorado entender
XXVII,entender duerme
XXVII,noche turbir
XXVII,calma solemne
XXVII,persiana cerré
XXVII,resplandor enojoso
XXVII,despierte dormir
XXVIII,sombra oscuro
XXVIII,oscuro perdido
XXVIII,voz murmuro
XXVIII,murmuro turbar
XXVIII,triste calma
XXVIII,calma si
XXVIII,oír dulce
XXVIII,dulcir resonar
XXVIII,resonar dime
XXVIII,ventana rojo
XXVIII,rojo brillar
XXVIII,sombra evocar
XXVIII,evocar si
XXVIII,bocar sentir
XXVIII,sentir creer
XXVIII,impresión dime
XXVIII,ciego delirir
XXVIII,luminoso día
XXVIII,alto noche
XXVIII,noche sombrir
XXVIII,somber si
XXVIII,cuanto rodear
XXVIII,creer sentir
XXVIII,ver dime
XXVIII,respirar soñar
XXIX,libro abierto
XXIX,mejilla tocar
XXIX,rizo negro
XXIX,letra ninguno
XXIX,ninguno creer
XXIX,creer mas
XXIX,mas guardábar
XXIX,guardár entrambo
XXIX,entrambo hondo
XXIX,hondo silencio
XXIX,silencio cuánto
XXIX,cuánto durar
XXIX,aun entonces
XXIX,entonces poder
XXIX,poder saber él
XXIX,saber él sólo
XXIX,apresurado escapar
XXIX,labio seco
XXIX,seco sólo
XXIX,sólo saber
XXIX,beso creación
XXIX,decir trémulo
XXIX,trémulo comprend
XXIX,poema caber
XXIX,responder encendido
XXX,perdón hablar
XXX,labio expirar
XXX,mutuo amor
XXX,decir aún
XXX,callé aquél
XXX,aquél día
XXXI,trágico sainete
XXXI,cuyo absurdo
XXXI,absurdo fábular
XXXI,grave confundido
XXXI,confundido risa
XXXI,llanto arrancar
XXXI,aquel historia
XXXI,tocar lágrima
XXXII,pasar arrollador
XXXII,aun mirar él
XXXII,oído murmurar
XXXII,quién reunir
XXXII,ignorar sólo
XXXII,sólo saber
XXXII,breve noche
XXXIII,jamás después
XXXIII,pasado convendrer
XXXIII,dónde hallar
XXXIII,simplemente orgullo
XXXIV,cruzo callado
XXXIV,movimiento silencioso
XXXIV,silencioso armonir
XXXIV,armonir sonar
XXXIV,sonar recordar
XXXIV,himno alado
XXXIV,cadencia rítmico
XXXIV,entreabrir aquel
XXXIV,aquel ojo
XXXIV,ojo tanto
XXXIV,tanto claro
XXXIV,abarcar arder
XXXIV,nuevo luz
XXXIV,pupila ríar
XXXIV,agua fugitivo
XXXIV,fugitivo lloro
XXXIV,cada lágrima
XXXIV,ternura infinito
XXXIV,forma engendradoro
XXXIV,expresión fuente
XXXIV,fuente eterno
XXXIV,estúpido bah
XXXIV,bah mientras
XXXIV,mientras callar
XXXIV,callar guardar
XXXIV,guardar obscuro
XXXIV,enigma siempre
XXXIV,siempre valer
XXXV,olvido aunque
XXXV,pudiste sospechar
XXXVI,alma cuanto
XXXVI,aún dejar
XXXVI,amor huella
XXXVI,huella tanto
XXXVI,tanto hondo
XXXVII,moriré escondido
XXXVII,hierro llevar
XXXVII,ancho herida
XXXVII,herida mortal
XXXVII,empeño tenaz
XXXVII,tenaz sentar él
XXXVII,muerte allí
XXXVII,año volar
XXXVII,aquel puerta
XXXVII,puerta llamarás
XXXVII,cabo quién
XXXVII,quién dejar
XXXVII,llamar entonces
XXXVII,tierra guardar
XXXVII,guardar lavándote
XXXVII,jordán allí
XXXVII,vida temblar
XXXVII,morir ir
XXXVII,playa venir
XXXVII,venir silencioso
XXXVII,expirar allí
XXXVII,cierra abrir
XXXVIII,mar dimir
XXXVIII,dimir mujer
XXXVIII,olvidar saber
XXXVIII,adónde ir
XXXIX,torpe mano
XXXIX,mano hacer
XXXIX,dar forma
XXXIX,forma real
XXXIX,mente ridículo
XXXIX,ridículo invención
XL,amoroso cabeza
XL,cabeza apoyado
XL,hombro dios
XL,dios saber
XL,saber cuántos
XL,cuántos vez
XL,paso perezoso
XL,vagar junto
XL,junto bajo
XL,altos olmos
XL,casa prestar
XL,prestar misterio
XL,año apenas
XL,apenas pasar
XL,exquisito gracia
XL,admirable aplomo
XL,amigo oficioso
XL,oficioso creer
XL,alguno parte
XL,usted ah
XL,ah bobo
XL,salón comadr
XL,buen tono
XL,galant embrollo
XL,manjar tanto
XL,tanto sabroso
XL,ser devorar
XL,devorar soto
XL,soto vocir
XL,corro detrás
XL,oro discreto
XL,casta luna
XL,luna copudo
XL,altos olmos
XL,olmos pared
XL,casa umbral
XL,pórtico callad
XL,máscara semejante
XLI,alto torre
XLI,poder ser
XLI,enhiesto roco
XLI,firme aguardo
XLI,poder ser
XLI,ser hermoso
XLI,altivo acostumbrado
XLI,senda estrecho
XLI,estrecho inevitable
XLI,poder ser
XLII,contar sentir
XLII,conciencia perder
XLII,mata pasar
XLII,pena logré
XLII,logré balbucear
XLII,balbucear breve
XLII,breve palabra
XLII,palabra quién
XLII,fiel amigo
XLII,gran favor
XLIII,revuelta camo
XLIII,sentar mudo
XLIII,mudo sombrío
XLIII,pupila inmóvil
XLIII,inmóvil clavado
XLIII,embriaguez horrible
XLIII,dolor expirar
XLIII,balcón reir
XLIII,saber tampoco
XLIII,tanto terrible
XLIII,terrible hora
XLIII,solo recuerdo
XLIII,aquel noche
XLIII,noche envejecí
XLIV,libro abierto
XLIV,abierto leo
XLIV,labio risa
XLIV,ojo lloro
XLIV,llorar nadie
XLV,arco ruinoso
XLV,ruinoso cuyo
XLV,cuyo piedra
XLV,tiempo enrojeceír
XLV,enrojeceír obra
XLV,cincel rudo
XLV,rudo campear
XLV,gótico blasón
XLV,blasón penacho
XLV,derredor dar
XLV,dar sombra
XLV,desierta plaza
XLV,cabal emblema
XLV,constante amor
XLV,amor ay
XLV,decir entonces
XLV,entonces verdad
XLV,cualquiera parte
XLVI,presta nuevo
XLVI,nuevo vida
XLVII,profundo sima
XLVII,pensamiento mas
XLVII,mas ay
XLVII,corazón llegué
XLVII,turbar tanto
XLVII,tanto hondo
XLVII,tanto negro
XLVIII,alguno vez
XLVIII,pasar junto
XLVIII,pasar sonreir él
XLVIII,decir cómo
XLVIII,cómo poder
XLVIII,poder reír
XLVIII,reír luego
XLVIII,luego asomo
XLVIII,sonrisa máscar
XLVIII,entonces pensar
XLVIII,pensar acaso
XLIX,alma brotar
XLIX,estéril rocar
XLIX,rocar saber
XLIX,corazón nido
XLIX,amor respondar
XLIX,estatua inanimado
XLIX,tanto hermoso
L,resta dar
L,mejor año
L,vida mortal
L,tocar si
LI,ola gigante
LI,rompéi bramar
LI,playa desierto
LI,remota envuelto
LI,espuma llevadme
LI,alto bosque
LI,marchita hoja
LI,hoja arrastrado
LI,ciego torbellino
LI,torbellino llevadme
LI,fuego encender
LI,sangriento orla
LI,orla arrebatado
LI,niebla oscuro
LI,oscuro llevadme
LII,oscura golondrina
LII,cristal jugar
LII,jugar llamar
LII,vuelo refrenar
LII,contemplar aquel
LII,nombre ésa
LII,volver volver
LII,tupida madreselva
LII,tarde aún
LII,aquel cuajada
LII,rocío cuyo
LII,cuyo gota
LII,gota mirábamo
LII,mirábar temblar
LII,día ésas
LII,volver volver
LII,palabra ardient
LII,profundo sueño
LII,sueño tal
LII,tal vez
LII,vez despertar
LII,querido desengáñate
LII,desengáñate así
LIII,fugaz hora
LIII,evocar temblar
LIII,temblar brilla
LIII,pestaña negro
LIII,lágrima prontar
LIII,fin resbala
LIII,hoy mañana
LIII,mañana volver
LIV,discordir estruendo
LIV,orgía acariciar
LIV,lejano música
LIV,conocer formado
LIV,bebido perfumar
LIV,oculto crecer
LIV,claustro sombrío
LIV,día cariñoso
LV,ayer mañana
LV,siempre igual
LV,cielo gris
LV,horizonte eterno
LV,andar andar
LV,andar mover él
LV,estúpido máquina
LV,torpe inteligencia
LV,cerebro dormido
LV,paraíso buscar él
LV,fe fatiga
LV,objeto ola
LV,rodar ignorar
LV,mismo tono
LV,tono cantar
LV,mismo cantar
LV,cantar gota
LV,agua monótonar
LV,cesar así
LV,así ir
LV,ir deslizar él
LV,pos hoy
LV,dolor ay
LV,acuerdo suspirar
LV,antiguo sufrir
LV,sufrir amargo
LV,siquiera padecer
LVI,néctar delicioso
LVI,hez pues
LVI,pues aspíralar
LVI,aspíralar acércalir
LVI,déjale después
LVI,después querer
LVI,dulce memoria
LVI,amor pues
LVI,pues amémono
LVI,amémono hoy
LVI,mañana digámonos
LVI,digamo yo adiós
LVII,saber cuál
LVII,dulce secreto
LVII,secreto languidez
LVII,reír alguno
LVII,alguno día
LVII,día sabrás
LVII,sabrás niña
LVII,saber apenas
LVII,sueño ves
LVII,libro poder
LVII,frente leer
LVII,reír alguno
LVII,alguno día
LVII,día sabrás
LVII,sabrás niña
LVII,saber apenas
LVII,seno misterioso
LVII,reír alguno
LVII,alguno día
LVII,día sabrás
LVII,sabrás niña
LVIII,insomnio lentas
LVIII,lento pasar
LVIII,lecho quién
LVIII,trémula mano
LVIII,mano tiendar
LVIII,tiendar próximo
LVIII,expirar buscar
LVIII,mano amiga
LVIII,amiga quién
LVIII,muerte vidríe
LVIII,párpado aún
LVIII,aún abierto
LVIII,abierto quién
LVIII,campana sonar
LVIII,suenir si
LVIII,si sonar
LVIII,oir él quién
LVIII,quién murmurar
LVIII,pálido resto
LVIII,resto oprimo
LVIII,olvidado fós
LVIII,fós quién
LVIII,quién vendar
LVIII,llorar quién
LVIII,sol volver
LVIII,mundo quién
LIX,herido recatar él
LIX,sombra sellar
LIX,sangre fría
LIX,impávido seguir
LIX,camino feliz
LIX,feliz risueña
LIX,risueña impávido
LIX,brota sangre
LX,arranqué aunque
LX,aunque sentir
LX,imagen arrojar
LX,ar desierta
LX,apagar aún
LX,aún turbar
LX,firme empeño
LX,empeño vivir
LX,visión tenaz
LX,tenaz cuándo
LX,cuándo poder
LX,poder dormir
LXI,cabeza loco
LXI,locar cansado
LXI,extraño pues
LXI,pues aunque
LXI,uso tal
LXI,cada día
LXI,día así
LXI,así aunque
LXI,aunque ahora
LXI,ahora morir
LXI,poder decir
LXI,parecer nuevo
LXI,estrella harto
LXI,afán doliente
LXI,horrible huella
LXI,huella grar
LXI,corazón si
LXII,albor trémulo
LXII,vago rayar
LXII,inquieta luz
LXII,mar luego
LXII,luego chispear
LXII,ardiente explosión
LXII,brilladoro lumbre
LXII,temeroso sombra
LXII,pesar ay
LXII,oscuro noche
LXII,alma cuándo
LXII,cuándo amanecer
LXIII,abeja irritada
LXIII,obscuro rincón
LXIII,memoria salir
LXIII,pasado hora
LXIII,querer ahuyentar
LXIII,ahuyentar esfuerzo
LXIII,esfuerzo tanto
LXIII,tanto inútil
LXIII,clavar yo venir
LXIII,agudo aguijón
LXIII,alma encón
LXIV,tesoro guardar
LXIV,querer probar
LXIV,amor mas
LXIV,mas hoy
LXIV,agotar decir
LXIV,decir ah
LXIV,ah barro
LXIV,barro miserable
LXIV,miserable eternamente
LXIV,aun sufrir
LXV,lágrima bebí
LXV,hinchado ojo
LXV,ojo cerré
LXV,desierto aunque
LXV,turbas llegar
LXV,ronco hervir
LXVI,dónde venir
LXVI,sendero buscar
LXVI,pie ensangrentado
LXVI,rocar duro
LXVI,alma hecho
LXVI,hecho jirón
LXVI,zarza agudo
LXVI,páramo cruzar
LXVI,cruzo valle
LXVI,eterna niev
LXVI,eterna melancólico
LXVI,melancólico bruma
LXVI,piedra solitario
LXVI,inscripción alguno
LXVI,olvido allí
LXVII,día coronado
LXVII,fuego levantar él
LXVII,lumbre brillar
LXVII,triste otoño
LXVII,azulado tarde
LXVII,húmedo flor
LXVII,perfumir beber
LXVII,blanco nieve
LXVII,nieve silencioso
LXVII,silencioso caer
LXVII,inquieta llama
LXVII,llama ver
LXVII,rojiza lengua
LXVII,lengua agitar él
LXVII,sueño dormir
LXVII,dormir bien
LXVIII,noche pasado
LXVIII,pasado triste
LXVIII,triste deber
LXVIII,deber ser
LXVIII,sueño pues
LXVIII,pues despierto
LXVIII,durar noté
LXVIII,incorporarme húmeda
LXVIII,primero vez
LXVIII,vez sentir
LXVIII,amargo placer
LXVIII,placer henchir él
LXVIII,alma triste
LXVIII,triste cosa
LXVIII,sueño.que llantir
LXVIII,arranca mas
LXVIII,alegría saber
LXVIII,quedar lágrima
LXIX,relámpago nacer
LXIX,aún duro
LXIX,morimos tanto
LXIX,tanto corto
LXIX,amor tras
LXIX,corremo sombra
LXIX,perseguir despertar
LXX,cuántos vez
LXX,musgosa pared
LXX,guardan oir
LXX,maitín llamar
LXX,llamar cuántos
LXX,cuántos vez
LXX,vez trazo
LXX,luna plateado
LXX,plateado junto
LXX,ojivo calado
LXX,calado cuántos
LXX,cuántos vez
LXX,vez temblar
LXX,vidrio vi
LXX,lámpar aunque
LXX,ángulo oscuro
LXX,torre silbar
LXX,voz percibir
LXX,voz vibrante
LXX,invierno si
LXX,desierta plaza
LXX,paso acelerar
LXX,torno decir
LXX,alguno sacristán
LXX,sacristar morir
LXX,oscura conocer
LXX,allí crecer
LXX,huella tal
LXX,tal vez
LXX,vez guardar
LXX,llama llegar
LXX,buen camarada
LXX,mudo santo
LXX,granito creer
LXXI,dormir vagar
LXXI,objeto misterioso
LXXI,misterioso espacio
LXXI,ronda silencioso
LXXI,silencioso dar
LXXI,dar vuelta
LXXI,párpado velar
LXXI,visión alumbrar
LXXI,punto resonar
LXXI,rumor semejante
LXXI,templo vago
LXXI,vaga confuso
LXXI,voz delgado
LXXI,sentir olor
LXXI,cirio apagado
LXXI,incienso pasar
LXXI,brazo caer
LXXI,profundo seno
LXXI,despertar exclamé
LXXI,exclamar alguno
LXXII,primero voz
LXXII,vaga armonir
LXXII,violeta suave
LXXII,suave olor
LXXII,olor bruma
LXXII,noche fría
LXXII,frío luz
LXXII,amor segundo
LXXII,segundo voz
LXXII,voz aura
LXXII,aplauso nube
LXXII,nube rabioso
LXXII,rabioso ola
LXXII,pie isla
LXXII,alma ansiós
LXXII,ansiosa dulce
LXXII,dulce embriaguez
LXXII,tercero voz
LXXII,voz ascua
LXXII,ascua encendido
LXXII,tesoro sombra
LXXII,adorar sólo
LXXII,libertad así
LXXII,barquero pasar
LXXII,pasar cantar
LXXII,eterno canción
LXXII,remo saltar
LXXII,embarca gritar
LXXII,playa tendido
LXXIII,ojos.que aún
LXXIII,abierto tapar
LXXIII,blanco lienzo
LXXIII,triste alcobo
LXXIII,vaso arder
LXXIII,muro arrojar
LXXIII,aquel sombra
LXXIII,sombra veíar
LXXIII,intérvalo dibujar él
LXXIII,dibujar él rígido
LXXIII,cuerpo despertar
LXXIII,albor primero
LXXIII,mil ruido
LXXIII,ruido despertar
LXXIII,aquel contraste
LXXIII,momento dios
LXXIII,hombro lleváronla
LXXIII,capilla dejar
LXXIII,féretro allí
LXXIII,allí rodear
LXXIII,pálido resto
LXXIII,amarillo vela
LXXIII,paño negro
LXXIII,toque postrero
LXXIII,postrero acabar
LXXIII,último rezo
LXXIII,rezo cruzar
LXXIII,ancho nave
LXXIII,puerta gimeír
LXXIII,santo recinto
LXXIII,recinto quedóse
LXXIII,quedóse desierto
LXXIII,oía compasado
LXXIII,chisporroteo tanto
LXXIII,tanto medroso
LXXIII,triste tanto
LXXIII,tanto oscuro
LXXIII,momento dios
LXXIII,alto campana
LXXIII,dar voltear
LXXIII,adiós lastimero
LXXIII,ropa amigo
LXXIII,deudo cruzar
LXXIII,fila formar
LXXIII,último asilo
LXXIII,asilo oscuro
LXXIII,estrecho abrir
LXXIII,extremo allí
LXXIII,acostar tapiáronla
LXXIII,tapiáronla luego
LXXIII,saludo despidióse
LXXIII,sepulturero cantar
LXXIII,puesto perdido
LXXIII,momento dios
LXXIII,larga noche
LXXIII,helado invierno
LXXIII,madera crujir
LXXIII,crujir hacer
LXXIII,fuerte aguacero
LXXIII,pobre niña
LXXIII,acuerdo allí
LXXIII,allí caer
LXXIII,eterno allí
LXXIII,húmedo muro
LXXIII,muro tendido
LXXIII,hueco acaso
LXXIII,hueso volver
LXXIII,polvo volar
LXXIII,espíritu podredumbrar
LXXIII,infundir repugnancia
LXXIII,dejar tanto
LXXIII,tanto triste
LXXIII,triste tanto
LXXIII,tanto solo
LXXIV,ropa desceñida
LXXIV,desceñida desnudo
LXXIV,puerta dos
LXXIV,dos ángel
LXXIV,ángel velar
LXXIV,doble reja
LXXIV,ver confuso
LXXIV,ensueño pasar
LXXIV,luz tenue
LXXIV,ardiente desear
LXXIV,deseo lleno
LXXIV,abismo aquel
LXXIV,aquel misterio
LXXIV,misterio hacer
LXXIV,hacer si
LXXIV,arrastrar mas
LXXIV,mas ay
LXXIV,ángel parecer
LXXIV,parecer decir yo
LXXIV,puerto sólo
LXXIV,sólo dios
LXXV,habitar huir
LXXV,vuelo presuroso
LXXV,brisa nocturno
LXXV,tenue soplo
LXXV,soplo alado
LXXV,alado subir
LXXV,región vacío
LXXV,allí desnudo
LXXV,humano formar
LXXV,formar allí
LXXV,lazo terrenal
LXXV,terrenal roto
